src,dst,pull,push,sync
California,California,3.0999000000000003,0.9650333333333332,4.064933333333332
California,Canada,72.29202222222223,73.6517111111111,145.94373333333334
California,Frankfurt,148.77346666666665,142.57564444444444,291.34911111111103
California,Ireland,133.97522222222221,122.32537777777776,256.3006
California,London,139.24506666666667,137.4939777777778,276.7390444444445
California,Mumbai,229.11953333333332,228.27119999999996,457.3907333333334
California,Ohio,53.06413333333333,50.03866666666667,103.10279999999999
California,Oregon,26.704222222222224,26.13608888888889,52.840311111111106
California,Paris,144.70871111111109,138.68533333333332,283.39404444444443
California,Sao Paulo,155.77462222222223,155.16757777777778,310.9422
California,Seoul,125.09044444444446,125.7307111111111,250.82115555555563
California,Singapore,150.6548888888889,151.1678,301.8226888888889
California,Sydney,152.2998222222222,152.62215555555557,304.92197777777767
California,Tokyo,94.18015555555556,93.92006666666663,188.10022222222221
California,Virginia,53.60546666666666,54.84633333333334,108.4518
Canada,California,74.3155333333333,66.95495555555554,141.2704888888889
Canada,Canada,0.9628,0.5586666666666668,1.5214666666666667
Canada,Frankfurt,105.71513333333334,103.62695555555555,209.34208888888892
Canada,Ireland,75.97533333333334,69.99706666666668,145.97240000000002
Canada,London,85.16135555555556,83.29586666666667,168.45722222222224
Canada,Mumbai,190.60208888888891,179.9444,370.5464888888889
Canada,Ohio,25.91722222222223,25.012111111111114,50.92933333333334
Canada,Oregon,63.971533333333326,60.82055555555556,124.79208888888891
Canada,Paris,87.45486666666667,85.64326666666668,173.09813333333335
Canada,Sao Paulo,119.1923555555555,117.40977777777776,236.60213333333328
Canada,Seoul,179.52217777777776,172.11264444444444,351.6348222222222
Canada,Singapore,186.50248888888896,159.5426222222222,346.0451111111111
Canada,Sydney,217.51326666666674,211.48460000000003,428.9978666666667
Canada,Tokyo,156.1943555555556,155.28526666666664,311.47962222222225
Canada,Virginia,22.130711111111115,21.201200000000004,43.33191111111112
Frankfurt,California,151.00008888888888,152.39000000000001,303.39008888888884
Frankfurt,Canada,97.50346666666668,99.76206666666666,197.2655333333333
Frankfurt,Frankfurt,2.0944333333333334,1.9239999999999997,4.018433333333332
Frankfurt,Ireland,27.601955555555556,23.76091111111111,51.36286666666666
Frankfurt,London,22.92284444444445,21.34024444444445,44.26308888888889
Frankfurt,Mumbai,110.03637777777777,108.25004444444447,218.2864222222222
Frankfurt,Ohio,97.31693333333335,97.42477777777782,194.74171111111113
Frankfurt,Oregon,163.27482222222218,155.85991111111107,319.13473333333343
Frankfurt,Paris,18.522222222222222,18.614755555555554,37.136977777777766
Frankfurt,Sao Paulo,183.28608888888886,172.11033333333327,355.3964222222222
Frankfurt,Seoul,232.38364444444443,226.31157777777779,458.6952222222223
Frankfurt,Singapore,136.61831111111115,137.1161111111111,273.73442222222224
Frankfurt,Sydney,298.29133333333334,293.09135555555565,591.3826888888891
Frankfurt,Tokyo,187.13875555555558,185.6975777777778,372.83633333333336
Frankfurt,Virginia,81.49957777777776,76.88437777777779,158.3839555555556
Ireland,California,133.07617777777773,124.85931111111111,257.9354888888889
Ireland,Canada,74.06437777777778,74.07235555555555,148.13673333333332
Ireland,Frankfurt,30.19246666666667,27.800466666666665,57.99293333333332
Ireland,Ireland,1.5261333333333333,0.8767000000000001,2.4028333333333336
Ireland,London,18.700488888888884,18.406133333333333,37.10662222222223
Ireland,Mumbai,117.03484444444445,116.77395555555559,233.80879999999996
Ireland,Ohio,84.43655555555554,80.41706666666666,164.85362222222224
Ireland,Oregon,143.9319555555555,143.45513333333332,287.3870888888889
Ireland,Paris,24.541111111111114,23.455822222222228,47.996933333333345
Ireland,Sao Paulo,157.98262222222223,156.90902222222226,314.89164444444435
Ireland,Seoul,210.20686666666666,209.88075555555557,420.0876222222223
Ireland,Singapore,149.9390666666667,149.35642222222222,299.2954888888889
Ireland,Sydney,284.80275555555573,278.40351111111113,563.2062666666667
Ireland,Tokyo,181.92304444444446,182.7605777777778,364.6836222222222
Ireland,Virginia,63.467755555555556,63.77128888888889,127.23904444444443
London,California,130.05180000000001,125.45975555555556,255.51155555555556
London,Canada,85.71315555555557,79.86882222222222,165.58197777777775
London,Frankfurt,21.084755555555557,18.59911111111111,39.68386666666667
London,Ireland,17.864977777777774,15.866422222222221,33.7314
London,London,1.3954333333333333,0.9218333333333333,2.317266666666667
London,Mumbai,114.05042222222222,108.91548888888892,222.96591111111107
London,Ohio,84.6633111111111,78.80262222222223,163.46593333333328
London,Oregon,153.2807777777778,138.4198888888889,291.7006666666667
London,Paris,15.668644444444437,15.311288888888889,30.97993333333333
London,Sao Paulo,170.00595555555557,169.25593333333333,339.2618888888889
London,Seoul,231.65842222222216,218.77164444444446,450.43006666666656
London,Singapore,133.39922222222222,134.07946666666666,267.4786888888888
London,Sydney,285.5305555555555,284.0576444444444,569.5881999999999
London,Tokyo,208.10048888888886,208.3934666666666,416.4939555555556
London,Virginia,66.98795555555556,67.25955555555556,134.2475111111111
Mumbai,California,228.39837777777777,222.52724444444442,450.92562222222216
Mumbai,Canada,185.5628000000001,182.7958888888889,368.35868888888893
Mumbai,Frankfurt,95.95842222222223,90.91468888888888,186.87311111111114
Mumbai,Ireland,113.11488888888891,103.91644444444448,217.03133333333332
Mumbai,London,102.00462222222224,102.1151333333333,204.11975555555557
Mumbai,Mumbai,3.5856,0.7116333333333333,4.297233333333335
Mumbai,Ohio,183.69273333333328,183.45891111111106,367.1516444444443
Mumbai,Oregon,198.1686,188.27497777777782,386.4435777777778
Mumbai,Paris,101.59215555555555,81.80682222222224,183.39897777777782
Mumbai,Sao Paulo,251.16504444444448,250.27166666666665,501.43671111111115
Mumbai,Seoul,142.11148888888886,124.80351111111112,266.915
Mumbai,Singapore,62.53324444444445,56.332666666666654,118.86591111111112
Mumbai,Sydney,233.6178,221.87064444444445,455.4884444444445
Mumbai,Tokyo,108.0588222222222,102.6684,210.72722222222228
Mumbai,Virginia,166.17971111111117,161.53282222222225,327.71253333333334
Ohio,California,54.115600000000015,51.03275555555556,105.14835555555554
Ohio,Canada,25.848955555555566,28.056444444444445,53.9054
Ohio,Frankfurt,104.9927111111111,104.48024444444444,209.47295555555553
Ohio,Ireland,83.65213333333334,80.79835555555555,164.4504888888889
Ohio,London,86.49346666666666,76.7322,163.22566666666665
Ohio,Mumbai,192.94911111111114,183.44913333333335,376.3982444444446
Ohio,Ohio,3.1904000000000012,1.3435666666666666,4.533966666666667
Ohio,Oregon,62.556311111111135,58.292844444444455,120.84915555555557
Ohio,Paris,82.53171111111112,83.29428888888891,165.826
Ohio,Sao Paulo,131.2101555555556,127.54095555555557,258.7511111111111
Ohio,Seoul,171.7291333333333,157.31884444444444,329.0479777777777
Ohio,Singapore,212.37997777777778,201.94691111111112,414.32688888888885
Ohio,Sydney,199.69233333333335,193.99353333333335,393.6858666666667
Ohio,Tokyo,165.5312,165.66955555555555,331.20075555555553
Ohio,Virginia,18.042311111111115,16.9882,35.03051111111111
Oregon,California,23.87515555555556,23.548422222222218,47.42357777777776
Oregon,Canada,61.744644444444454,63.95942222222222,125.70406666666669
Oregon,Frankfurt,166.19377777777777,160.29306666666665,326.48684444444444
Oregon,Ireland,140.93108888888887,134.71159999999998,275.64268888888887
Oregon,London,137.84451111111113,133.6697111111111,271.51422222222214
Oregon,Mumbai,211.9796888888889,207.61213333333333,419.5918222222223
Oregon,Ohio,67.90893333333337,67.19722222222224,135.1061555555556
Oregon,Oregon,2.1532,0.8258999999999997,2.9791000000000007
Oregon,Paris,141.59068888888888,134.5183777777778,276.1090666666667
Oregon,Sao Paulo,166.92271111111108,162.6704666666667,329.5931777777778
Oregon,Seoul,121.5405333333333,118.92628888888886,240.46682222222225
Oregon,Singapore,131.46911111111112,127.71215555555554,259.1812666666667
Oregon,Sydney,165.61159999999998,161.7892,327.40079999999995
Oregon,Tokyo,98.90513333333331,97.92897777777776,196.83411111111107
Oregon,Virginia,72.22831111111113,70.79868888888889,143.02700000000002
Paris,California,132.50437777777776,122.11439999999999,254.61877777777775
Paris,Canada,88.91664444444443,91.99268888888889,180.90933333333336
Paris,Frankfurt,21.703044444444437,18.47977777777778,40.18282222222222
Paris,Ireland,20.973555555555553,20.982888888888887,41.95644444444443
Paris,London,15.248844444444444,13.023800000000001,28.27264444444444
Paris,Mumbai,105.33326666666666,101.8704888888889,207.20375555555552
Paris,Ohio,92.68093333333333,91.01246666666667,183.69340000000008
Paris,Oregon,147.79248888888893,144.1325333333333,291.9250222222222
Paris,Paris,3.452833333333333,6.036766666666667,9.489600000000001
Paris,Sao Paulo,170.69153333333333,170.47468888888892,341.1662222222222
Paris,Seoul,234.7930666666667,223.3691111111111,458.16217777777786
Paris,Singapore,128.62504444444446,128.87364444444444,257.49868888888886
Paris,Sydney,286.6423999999999,277.85817777777777,564.500577777778
Paris,Tokyo,208.11924444444443,207.13520000000005,415.2544444444444
Paris,Virginia,73.08802222222222,72.85984444444443,145.9478666666667
Sao Paulo,California,187.2133777777778,185.06248888888888,372.2758666666667
Sao Paulo,Canada,105.29084444444445,99.9533333333333,205.24417777777776
Sao Paulo,Frankfurt,198.74786666666662,176.62106666666662,375.3689333333335
Sao Paulo,Ireland,178.32368888888894,157.50566666666668,335.8293555555555
Sao Paulo,London,169.8906888888889,160.18253333333334,330.0732222222223
Sao Paulo,Mumbai,269.89904444444454,241.88277777777773,511.78182222222233
Sao Paulo,Ohio,129.01704444444442,120.40104444444445,249.41808888888895
Sao Paulo,Oregon,179.61173333333332,162.4552222222223,342.0669555555555
Sao Paulo,Paris,201.9591777777778,170.91148888888887,372.8706666666668
Sao Paulo,Sao Paulo,1.6456666666666668,2.6694999999999993,4.315166666666667
Sao Paulo,Seoul,253.2709555555555,247.8574,501.1283555555555
Sao Paulo,Singapore,281.3622666666667,282.49719999999996,563.8594666666665
Sao Paulo,Sydney,296.5639333333334,275.06075555555555,571.624688888889
Sao Paulo,Tokyo,205.7704222222222,199.4288666666666,405.1992888888888
Sao Paulo,Virginia,94.89477777777779,93.87273333333331,188.76751111111113
Seoul,California,134.33404444444443,131.59784444444443,265.93188888888886
Seoul,Canada,165.17215555555555,167.09775555555555,332.26991111111107
Seoul,Frankfurt,235.7671333333333,211.0085555555556,446.77568888888896
Seoul,Ireland,212.1554222222222,208.29108888888885,420.446511111111
Seoul,London,247.5787777777778,243.09662222222227,490.67540000000014
Seoul,Mumbai,139.00811111111108,135.48557777777776,274.49368888888887
Seoul,Ohio,171.07293333333334,162.39213333333333,333.4650666666667
Seoul,Oregon,126.7963777777778,117.10197777777778,243.8983555555555
Seoul,Paris,252.88482222222228,240.14311111111112,493.02793333333346
Seoul,Sao Paulo,252.1472888888889,232.89559999999992,485.0428888888891
Seoul,Seoul,2.3015999999999996,0.9464666666666667,3.2480666666666664
Seoul,Singapore,103.89317777777781,94.91026666666667,198.8034444444444
Seoul,Sydney,141.79031111111107,124.12848888888887,265.9188000000001
Seoul,Tokyo,33.05120000000001,32.11302222222221,65.16422222222222
Seoul,Virginia,181.40920000000003,177.4420666666667,358.8512666666667
Singapore,California,152.71166666666667,152.45311111111113,305.16477777777783
Singapore,Canada,204.1018888888889,204.83915555555558,408.9410444444444
Singapore,Frankfurt,161.86673333333334,161.0566444444444,322.9233777777779
Singapore,Ireland,179.26860000000002,174.0331555555555,353.3017555555556
Singapore,London,157.38526666666667,149.59066666666666,306.97593333333333
Singapore,Mumbai,58.155088888888905,54.14531111111111,112.3004
Singapore,Ohio,232.9670444444444,221.7486888888889,454.71573333333345
Singapore,Oregon,151.11006666666668,146.6797333333333,297.78979999999996
Singapore,Paris,148.4446,129.68751111111112,278.13211111111104
Singapore,Sao Paulo,317.8148888888889,312.2496888888889,630.0645777777778
Singapore,Seoul,103.46933333333332,102.38704444444443,205.85637777777774
Singapore,Singapore,1.8215666666666668,1.0384333333333333,2.8599999999999994
Singapore,Sydney,179.0908888888889,163.1748,342.2656888888889
Singapore,Tokyo,72.48866666666666,69.06204444444445,141.55071111111113
Singapore,Virginia,218.49335555555558,218.15568888888885,436.6490444444446
Sydney,California,141.60266666666664,138.1009111111111,279.70357777777775
Sydney,Canada,195.8956444444444,196.6123333333333,392.50797777777785
Sydney,Frankfurt,245.2946222222222,235.1193555555556,480.4139777777778
Sydney,Ireland,239.76531111111112,227.25462222222222,467.01993333333326
Sydney,London,265.9938222222222,258.3540666666666,524.347888888889
Sydney,Mumbai,211.32344444444442,201.5158,412.8392444444445
Sydney,Ohio,171.60215555555556,166.70037777777776,338.3025333333333
Sydney,Oregon,149.8712222222222,140.00384444444447,289.87506666666667
Sydney,Paris,271.6437777777777,208.70575555555556,480.34953333333334
Sydney,Sao Paulo,264.68864444444444,261.5294222222222,526.2180666666666
Sydney,Seoul,129.0921111111111,125.23044444444439,254.3225555555556
Sydney,Singapore,184.80297777777773,177.24713333333335,362.0501111111111
Sydney,Sydney,2.0396333333333336,1.4669666666666665,3.5065999999999997
Sydney,Tokyo,100.963,99.98599999999998,200.949
Sydney,Virginia,195.09957777777777,196.2358666666667,391.33544444444453
Tokyo,California,108.35095555555559,106.87015555555554,215.2211111111111
Tokyo,Canada,143.37728888888887,144.61762222222222,287.99491111111115
Tokyo,Frankfurt,216.64186666666663,200.5568,417.19866666666655
Tokyo,Ireland,196.59871111111113,190.59111111111113,387.18982222222223
Tokyo,London,229.76288888888888,229.6583555555556,459.4212444444444
Tokyo,Mumbai,108.47902222222226,109.72915555555555,218.2081777777778
Tokyo,Ohio,132.47699999999998,124.26917777777777,256.74617777777786
Tokyo,Oregon,104.36415555555561,100.42157777777781,204.7857333333334
Tokyo,Paris,223.66780000000003,218.18533333333335,441.85313333333335
Tokyo,Sao Paulo,230.36673333333334,206.21204444444444,436.5787777777779
Tokyo,Seoul,34.70057777777778,33.87328888888888,68.57386666666667
Tokyo,Singapore,73.64544444444444,73.33302222222224,146.9784666666667
Tokyo,Sydney,114.45186666666665,92.48253333333334,206.9344000000001
Tokyo,Tokyo,1.9697666666666669,0.8011999999999999,2.7709666666666664
Tokyo,Virginia,167.72586666666666,166.7557555555556,334.48162222222214
Virginia,California,63.60653333333334,60.92544444444444,124.53197777777777
